"001 - Buya Barokah Pusat"
"Jln. KH Arwani no 34 Kudus Jawatengah / 0231974939"
"LAPORAN NERACA"
"Periode : 05-01-2019 sd 05-01-2019"
""
"1.20.020.03","Akumulasi_Penyusutan_Mesin_dan_Peralatan","(1037689160.44)","","","","","",""
"1.20.020.04","Akumulasi_Penyusutan_Inv._Pabrik","(84756101.25)","","","","","",""
"1.20.020.05","Akumulasi_Penyusutan_Inv._Kantor","(56842664.17)","","","","","",""
"1.20.020.06","Akumulasi_Penyusutan_Kendaraan","(426637917.33)","","","","","",""
"1.20.020.07","Akumulasi_Penyusutan_AT_Berwujud_Lainnya","0.00","","","","","",""
"1.20.030","AKTIVA_TIDAK_BERWUJUD","","360000.00","","","","",""
"1.20.030.01","Patent_dan_Merk_Dagang","360000.00","","","","","",""
"1.20.030.02","Good_Will","0.00","","","","","",""
"1.20.030.03","Royalty","0.00","","","","","",""
"1.30","AKTIVA_LAIN_LAIN","","1810591184.16","","","","",""
"1.30.010","Biaya_Pendirian_Perusahaan","172118915.83","","","","","",""
"1.30.020","Biaya_Resiko_Kecelakaan","0.00","","","","","",""
"1.30.030","Jaminan_Kontrak_PLN","79231833.33","","","","","",""
"1.30.040","Jaminan_Kontrak_Perumtel","0.00","","","","","",""
"1.30.050","Bangunan_Dalam_Proses","1559240435.00","","","","","",""
"1.30.060","Piutang_Jangka_Panjang","0.00","","","","","",""
"","Total Aktiva","","16485971841.55","","","Total Pasiva","","16485971841.55"
