"001 - Buya Barokah Pusat"
"Jln. KH Arwani no 34 Kudus Jawatengah / 0231974939"
"LAPORAN LABA RUGI"
"Tgl : 05-01-2019"
""
"6.10.010.08","Biaya_Pemeliharaan_Gedung_Kantor","",""
"6.10.010.09","Biaya_Pemeliharaan_Inventaris_Kantor","",""
"6.10.010.10","Biaya_Pemeliharaan_Kendaraan_Kantor","",""
"6.10.010.11","Biaya Listrik Telepon Faximile Kantor Internet","",""
"6.10.010.12","Biaya_Gaji_dan_Upah_Administrasi","",""
"6.10.010.13","Biaya Operasional Kantor Pusat","",""
"6.10.010.14","Biaya Keamanan Lingkungan","",""
"6.10.010.15","Biaya THR Karyawan","",""
"6.10.010.16","Biaya Kerugian Piutang Dagang","",""
"6.10.010.17","Biaya Jaminan Kesehatan","",""
"6.10.010.18","Biaya Majalah Koran Buku dan Retribusi","",""
"6.10.010.19","Biaya Paket Pos Telegram Prangko Meterai dan F","",""
"6.10.010.20","Biaya Sumbangan Sosial Zakat Infaq dan Shodaqoh","",""
"6.10.010.21","Biaya Pendidikan/Kursus Seminar Work Shop dll.","",""
"6.10.010.22","Biaya Makan dan Pertemuan","",""
"6.10.010.23","Biaya Penelitian dan Pengembangan","",""
"6.10.010.24","Biaya Perjalanan Dinas Kantor","",""
"6.10.010.25","Biaya Pajak Bumi dan Bangunan (PBB)","",""
"6.10.010.26","Biaya Pajak Penghasilan (PPh)","",""
"6.10.010.27","Biaya Pajak Pertambahan Nilai (PPN)","",""
"6.10.010.28","Biaya Amortisasi","",""
"6.10.010.29","Biaya Kontribusi Yayasan","",""
"6.10.010.30","Biaya Administrasi Umum lainnya","",""
"6.10.020","BIAYA_PEMASARAN","",""
"6.10.020.01","Biaya Pemakaian Sparepart Kendaraan Pemasaran","",""
"6.10.020.02","Biaya_Penyusutan_Kendaraan_Pemasaran","",""
"6.10.020.03","Biaya_Pemeliharaan_Kendaraan_Pemasaran","",""
"6.10.020.04","Biaya BBM/Pelumas Kendaraan Pemasaran","",""
"6.10.020.05","Biaya Pajak dan Kir Kendaraan Pemasaran","",""
"6.10.020.06","Biaya Sewa Kendaraan Pemasaran","",""
"6.10.020.07","Biaya_Gaji_dan_Upah_Pemasaran","",""
"6.10.020.08","Biaya Komisi atas Penjualan","",""
"6.10.020.09","Biaya Iklan Pemasaran","",""
"6.10.020.10","Biaya Pengiriman","",""
"6.10.020.11","Biaya Paket Barang Pemasaran","",""
"6.10.020.12","Biaya Penginapan Pemasaran","",""
"6.10.020.13","Biaya Jamuan Tamu","",""
"6.10.020.14","Biaya THR Pemasaran","",""
"6.10.020.15","Biaya Pemasaran Lainnya","",""
"","LABA RUGI OPERASIONAL","",""
"7","PENDAPATAN & BIAYA DI LUAR USAHA","",""
"7.10","PENDAPATAN_DI_LUAR_USAHA","",""
"7.10.010","Pendapatan Bunga Bank","",""
"7.10.011","Pendapatan Bagi Hasil","",""
"7.10.012","Laba Atas Penjualan Aktiva","",""
"7.10.013","Pendapatan di Luar Usaha Lainnya","",""
"8","BIAYA DILUAR USAHA","",""
"8.10","BIAYA_DI_LUAR_USAHA","",""
"8.10.010","Biaya Administrasi Bank","",""
"8.10.011","Biaya Bunga Bank","",""
"8.10.012","Biaya Bagi Hasil","",""
"8.10.013","Rugi Atas Penjualan Aktiva","",""
"8.10.014","Biaya di Luar Usaha Lainnya","",""
"","LABA RUGI NON OPERASIONAL","",""
"","LABA RUGI SEBELUM PAJAK","",""
"9","PAJAK","",""
"9.10","Pajak Penghasilan (PPH)","",""
"","LABA RUGI SETELAH PAJAK","",""
